cost,Area,type,no.of bed,Bathrooms,Location
"1,550,000 AED","1,528 sqft",Apartment,1,2,"The Fairmont Palm Residence North, The Fairmont Palm Residences, Palm Jumeirah, Dubai"
"1,250,000 AED","1,535 sqft",Apartment,2,3,"The Polo Residence, Meydan Avenue, Meydan, Dubai"
"29,499,000 AED","9,000 sqft",Villa,6,7,"Signature Villas Frond P, Signature Villas, Palm Jumeirah, Dubai"
"7,500,000 AED","6,000 sqft",Villa,5,5,"Entertainment Foyer, Mediterranean Clusters, Jumeirah Islands, Dubai"
"1,595,000 AED","1,682 sqft",Apartment,3,3,"Ocean Heights, Dubai Marina, Dubai"
"9,500,000 AED","9,500 sqft",Villa,5,7+,"District One Villas, District One, Mohammed Bin Rashid City, Dubai"
"660,004 AED",667 sqft,Apartment,1,2,"Aria, Jumeirah Village Circle, Dubai"
"505,100 AED",460 sqft,Apartment,Studio,1,"Beverly Residence, Jumeirah Village Circle, Dubai"
"7,500,000 AED","7,500 sqft",Villa,4,6,"District One Villas, District One, Mohammed Bin Rashid City, Dubai"
"915,000 AED","1,196 sqft",Apartment,2,2,"Chaimaa Avenue Residences, Jumeirah Village Circle, Dubai"
"3,200,000 AED","2,800 sqft",Townhouse,3,5,"Jumeirah Luxury, Jumeirah Golf Estates, Dubai"
"2,495,000 AED","3,720 sqft",Townhouse,3,3,"Golden Mile 3, Golden Mile, Palm Jumeirah, Dubai"
"26,950,000 AED","6,537 sqft",Penthouse,4,6,"Bulgari Resort & Residences, Jumeirah Bay Island, Jumeirah, Dubai"
"2,780,000 AED","3,224 sqft",Villa,4,4,"Azalea, Arabian Ranches 2, Dubai"
"2,850,000 AED","2,637 sqft",Villa,3,2,"Springs 1, The Springs, Dubai"
"2,350,000 AED","1,782 sqft",Apartment,3,3,"A1, The Hills A, The Hills, Dubai"
"4,350,000 AED","4,389 sqft",Villa,5,5,"Terra Nova, Arabian Ranches, Dubai"
"4,500,000 AED","8,994 sqft",Villa,4,5,"Rasha, Arabian Ranches 2, Dubai"
"3,600,000 AED","3,523 sqft",Villa,4,4,"Sidra Villas I, Sidra Villas, Dubai Hills Estate, Dubai"
"1,350,000 AED","1,578 sqft",Apartment,2,2,"Tanaro, The Views, Dubai"
"1,200,000 AED",891 sqft,Apartment,2,3,"Merano Tower, Business Bay, Dubai"
"1,620,000 AED","2,202 sqft",Townhouse,3,3,"Reem Community, Arabian Ranches 2, Dubai"
"3,999,999 AED","4,309 sqft",Villa,4,4,"Rasha, Arabian Ranches 2, Dubai"
"950,000 AED","1,013 sqft",Apartment,1,2,"Sun Tower, Shams Abu Dhabi, Al Reem Island, Abu Dhabi"
"914,970 AED","1,196 sqft",Apartment,2,3,"Chaimaa Avenue Residences, Jumeirah Village Circle, Dubai"
"4,800,000 AED","4,283 sqft",Villa,5,5,"Sidra Villas II, Sidra Villas, Dubai Hills Estate, Dubai"
"2,550,000 AED","2,462 sqft",Townhouse,4,4,"Maple 1, Maple at Dubai Hills Estate, Dubai Hills Estate, Dubai"
"4,990,000 AED","6,591 sqft",Villa,4,3,"Maeen 2, Maeen, The Lakes, Dubai"
"930,000 AED",723 sqft,Apartment,1,,"Studio One, Dubai Marina, Dubai"
"8,900,000 AED","7,071 sqft",Villa,5,6,"Olive Point, Earth, Jumeirah Golf Estates, Dubai"
"1,550,000 AED","1,334 sqft",Apartment,2,2,"The Links East Tower, The Links, The Views, Dubai"
"2,350,000 AED","1,922 sqft",Apartment,3,4,"Al Rahba, Al Muneera, Al Raha Beach, Abu Dhabi"
"4,500,000 AED","3,554 sqft",Apartment,3,5,"Al Seef Tower, Dubai Marina, Dubai"
"920,000 AED",934 sqft,Apartment,1,2,"Sky Tower, Shams Abu Dhabi, Al Reem Island, Abu Dhabi"
"3,399,999 AED","3,237 sqft",Villa,4,4,"Sidra Villas I, Sidra Villas, Dubai Hills Estate, Dubai"
"2,749,999 AED","3,225 sqft",Villa,4,4,"Samara, Arabian Ranches 2, Dubai"
"2,350,000 AED","1,937 sqft",Apartment,3,4,"Al Rahba, Al Muneera, Al Raha Beach, Abu Dhabi"
"10,999,000 AED","6,550 sqft",Villa,5,6,"Master View, Mediterranean Clusters, Jumeirah Islands, Dubai"
"2,380,000 AED","5,423 sqft",Penthouse,3,4,"Terraced Apartments, Green Community Motor City, Motor City, Dubai"
"447,888 AED",338 sqft,Apartment,Studio,1,"UNA Apartments, Town Square, Dubai"
"3,300,000 AED","1,662 sqft",Apartment,2,3,"Apartment Building 9, Bluewaters Residences, Bluewaters, Dubai"
"2,150,000 AED","2,314 sqft",Apartment,3,4,"Trident Bayside, Dubai Marina, Dubai"
"29,999,999 AED","16,844 sqft",Villa,7,7+,"District One Villas, District One, Mohammed Bin Rashid City, Dubai"
"3,700,000 AED","3,523 sqft",Villa,4,4,"Sidra Villas III, Sidra Villas, Dubai Hills Estate, Dubai"
"1,300,000 AED","1,003 sqft",Apartment,1,2,"Yansoon 6, Yansoon, Old Town, Dubai"
"460,000 AED",420 sqft,Apartment,Studio,1,"Pantheon Elysee, Jumeirah Village Circle, Dubai"
"1,750,000 AED","1,827 sqft",Apartment,3,4,"Beverly Residence, Jumeirah Village Circle, Dubai"
"1,250,000 AED","1,400 sqft",Apartment,3,4,"Beverly Residence, Jumeirah Village Circle, Dubai"
"1,275,000 AED","1,201 sqft",Apartment,2,2,"Hyati Avenue, Jumeirah Village Circle, Dubai"
